SESSION-CRYPTO FIELD TAINT V9
Parser output semantic fields established by v8: session algorithm presence/value @ +0x118/+0x11c; session key-length presence/value @ +0x120/+0x128.
Goal: find copies/consumers of this exact four-offset signature in networking code and connect it to P2P constructors.

=== CRYPTO PARSER ENTRY (confirm output pointer) 0x7c088e4-0x7c08980 ===
0x7c088e4: stp       x29, x30, [sp, #-0x60]!
  0x7cc43d4: csel      x21, x21, x9, eq
  0x7cc43d8: csel      x10, x8, x10, eq
  0x7cc43dc: cbz       x21, #0x7cc445c
  0x7cc43e0: ldr       x9, [x19, #0x128]
  0x7cc43e4: and       x22, x10, #0xffffffff
  0x7cc43e8: ldr       x8, [x19, #0x118]
  0x7cc43ec: sub       x10, x9, x8
  0x7cc43f0: cmp       x10, x22
  0x7cc43f4: b.hs      #0x7cc4434
  0x7cc43f8: lsl       x10, x9, #1
  0x7cc43fc: cmp       x9, #0
  0x7cc4400: mov       w9, #0x2000
  0x7cc4404: add       x8, x8, x22
  0x7cc4408: csel      x9, x9, x10, eq
  0x7cc440c: mov       x23, x9
  0x7cc4410: lsl       x9, x9, #1
  0x7cc4414: cmp       x23, x8
  0x7cc4418: b.lo      #0x7cc440c
  0x7cc441c: ldr       x0, [x19, #0x120]
  0x7cc4420: mov       x1, x23
  0x7cc4424: bl        #0x8b38370
  0x7cc4428: stp       x0, x23, [x19, #0x120]
  0x7cc442c: cbnz      x0, #0x7cc443c
  0x7cc4430: b         #0x7cc445c
  0x7cc4434: ldr       x0, [x19, #0x120]
  0x7cc4438: cbz       x0, #0x7cc445c
  0x7cc443c: ldr       x8, [x20]
  0x7cc4440: mov       x1, x21
  0x7cc4444: mov       x2, x22
  0x7cc4448: add       x0, x0, x8
  0x7cc444c: bl        #0x8b35300
  0x7cc4450: ldr       x8, [x20]
  0x7cc4454: add       x8, x8, x22
  0x7cc4458: str       x8, [x20]
  0x7cc445c: ldrb      w8, [sp, #8]
  0x7cc4460: tbz       w8, #0, #0x7cc446c
  0x7cc4464: ldr       x0, [sp, #0x18]
  0x7cc4468: bl        #0x8b352c0
  ...
  0x7cc4484: bl        #0x8b35330
  ...
  0x7cc44b8: bl        #0x8b35260
  ...
  0x7cc44d8: bl        #0x8b352f0
  ...
  0x7cc44f8: bl        #0x745cbd0
  ...
  0x7cc4500: add       x10, sp, #8
  0x7cc4504: ldrb      w8, [sp, #8]
  0x7cc4508: orr       x10, x10, #1
  0x7cc450c: tst       w8, #1
  0x7cc4510: lsr       x8, x8, #1
  0x7cc4514: csel      x21, x10, x9, eq
  0x7cc4518: csel      x10, x8, x11, eq
  0x7cc451c: cbz       x21, #0x7cc459c
  0x7cc4520: ldr       x9, [x19, #0x128]
  0x7cc4524: and       x22, x10, #0xffffffff
  0x7cc4528: ldr       x8, [x19, #0x118]
  0x7cc452c: sub       x10, x9, x8
  0x7cc4530: cmp       x10, x22
  0x7cc4534: b.hs      #0x7cc4574
  0x7cc4538: lsl       x10, x9, #1
  0x7cc453c: cmp       x9, #0
  0x7cc4540: mov       w9, #0x2000
  0x7cc4544: add       x8, x8, x22
  0x7cc4548: csel      x9, x9, x10, eq
  0x7cc454c: mov       x23, x9
  0x7cc4550: lsl       x9, x9, #1
  0x7cc4554: cmp       x23, x8
  0x7cc4558: b.lo      #0x7cc454c
  0x7cc455c: ldr       x0, [x19, #0x120]
  0x7cc4560: mov       x1, x23
  0x7cc4564: bl        #0x8b38370
  0x7cc4568: stp       x0, x23, [x19, #0x120]
  0x7cc456c: cbnz      x0, #0x7cc457c
  0x7cc4570: b         #0x7cc459c
  0x7cc4574: ldr       x0, [x19, #0x120]
  0x7cc4578: cbz       x0, #0x7cc459c
  0x7cc457c: ldr       x8, [x20]
  0x7cc4580: mov       x1, x21
  0x7cc4584: mov       x2, x22
  0x7cc4588: add       x0, x0, x8
  0x7cc458c: bl        #0x8b35300
  0x7cc4590: ldr       x8, [x20]
  0x7cc4594: add       x8, x8, x22
  0x7cc4598: str       x8, [x20]
  0x7cc459c: ldrb      w8, [sp, #8]
  0x7cc45a0: tbz       w8, #0, #0x7cc45ac
  0x7cc45a4: ldr       x0, [sp, #0x18]
  0x7cc45a8: bl        #0x8b352c0
  ...
  0x7cc45dc: bl        #0x745cbd0
  0x7cc45e0: ldp       x10, x9, [sp, #0x10]
  0x7cc45e4: ldrb      w8, [sp, #8]
  0x7cc45e8: tst       w8, #1
  0x7cc45ec: lsr       x8, x8, #1
  0x7cc45f0: csel      x21, x21, x9, eq
  0x7cc45f4: csel      x10, x8, x10, eq
  0x7cc45f8: cbz       x21, #0x7cc4678
  0x7cc45fc: ldr       x9, [x19, #0x128]
  0x7cc4600: and       x22, x10, #0xffffffff
  0x7cc4604: ldr       x8, [x19, #0x118]
  0x7cc4608: sub       x10, x9, x8
  0x7cc460c: cmp       x10, x22
  0x7cc4610: b.hs      #0x7cc4650
  0x7cc4614: lsl       x10, x9, #1
  0x7cc4618: cmp       x9, #0
  0x7cc461c: mov       w9, #0x2000
  0x7cc4620: add       x8, x8, x22
  0x7cc4624: csel      x9, x9, x10, eq
  0x7cc4628: mov       x23, x9
  0x7cc462c: lsl       x9, x9, #1
  0x7cc4630: cmp       x23, x8
  0x7cc4634: b.lo      #0x7cc4628
  0x7cc4638: ldr       x0, [x19, #0x120]
  0x7cc463c: mov       x1, x23
  0x7cc4640: bl        #0x8b38370
  0x7cc4644: stp       x0, x23, [x19, #0x120]
  0x7cc4648: cbnz      x0, #0x7cc4658
  0x7cc464c: b         #0x7cc4678
  0x7cc4650: ldr       x0, [x19, #0x120]
  0x7cc4654: cbz       x0, #0x7cc4678
  0x7cc4658: ldr       x8, [x20]
  0x7cc465c: mov       x1, x21
  0x7cc4660: mov       x2, x22
  0x7cc4664: add       x0, x0, x8
  0x7cc4668: bl        #0x8b35300
  0x7cc466c: ldr       x8, [x20]
  0x7cc4670: add       x8, x8, x22
  0x7cc4674: str       x8, [x20]
  0x7cc4678: ldrb      w8, [sp, #8]
  0x7cc467c: tbz       w8, #0, #0x7cc4688
  0x7cc4680: ldr       x0, [sp, #0x18]
  0x7cc4684: bl        #0x8b352c0
  ...
  0x7cc46a0: bl        #0x8b35330
  ...
  0x7cc46d4: bl        #0x8b35260
  ...
  0x7cc46f4: bl        #0x8b352f0
  ...
  0x7cc4714: bl        #0x745cbd0
  ...
  0x7cc471c: add       x10, sp, #8
  0x7cc4720: ldrb      w8, [sp, #8]
  0x7cc4724: orr       x10, x10, #1
  0x7cc4728: tst       w8, #1
  0x7cc472c: lsr       x8, x8, #1
  0x7cc4730: csel      x21, x10, x9, eq
  0x7cc4734: csel      x10, x8, x11, eq
  0x7cc4738: cbz       x21, #0x7cc47b8
  0x7cc473c: ldr       x9, [x19, #0x128]
  0x7cc4740: and       x22, x10, #0xffffffff
  0x7cc4744: ldr       x8, [x19, #0x118]
  0x7cc4748: sub       x10, x9, x8
  0x7cc474c: cmp       x10, x22
  0x7cc4750: b.hs      #0x7cc4790
  0x7cc4754: lsl       x10, x9, #1
  0x7cc4758: cmp       x9, #0
  0x7cc475c: mov       w9, #0x2000
  0x7cc4760: add       x8, x8, x22
  0x7cc4764: csel      x9, x9, x10, eq
  0x7cc4768: mov       x23, x9
  0x7cc476c: lsl       x9, x9, #1
  0x7cc4770: cmp       x23, x8
  0x7cc4774: b.lo      #0x7cc4768
  0x7cc4778: ldr       x0, [x19, #0x120]
  0x7cc477c: mov       x1, x23
  0x7cc4780: bl        #0x8b38370
  0x7cc4784: stp       x0, x23, [x19, #0x120]
  0x7cc4788: cbnz      x0, #0x7cc4798
  0x7cc478c: b         #0x7cc47b8
  0x7cc4790: ldr       x0, [x19, #0x120]
  0x7cc4794: cbz       x0, #0x7cc47b8
  0x7cc4798: ldr       x8, [x20]
  0x7cc479c: mov       x1, x21
  0x7cc47a0: mov       x2, x22
  0x7cc47a4: add       x0, x0, x8
  0x7cc47a8: bl        #0x8b35300
  0x7cc47ac: ldr       x8, [x20]
  0x7cc47b0: add       x8, x8, x22
  0x7cc47b4: str       x8, [x20]
  0x7cc47b8: ldrb      w8, [sp, #8]
  0x7cc47bc: tbz       w8, #0, #0x7cc47c8
  0x7cc47c0: ldr       x0, [sp, #0x18]
  0x7cc47c4: bl        #0x8b352c0
  ...
  0x7cc47fc: bl        #0x745cbd0
  0x7cc4800: ldp       x10, x9, [sp, #0x10]
  0x7cc4804: ldrb      w8, [sp, #8]
  0x7cc4808: tst       w8, #1
  0x7cc480c: lsr       x8, x8, #1
  0x7cc4810: csel      x21, x21, x9, eq
  0x7cc4814: csel      x10, x8, x10, eq
  0x7cc4818: cbz       x21, #0x7cc4898
  0x7cc481c: ldr       x9, [x19, #0x128]
  0x7cc4820: and       x22, x10, #0xffffffff
  0x7cc4824: ldr       x8, [x19, #0x118]
  0x7cc4828: sub       x10, x9, x8
  0x7cc482c: cmp       x10, x22
  0x7cc4830: b.hs      #0x7cc4870
  0x7cc4834: lsl       x10, x9, #1
  0x7cc4838: cmp       x9, #0
  0x7cc483c: mov       w9, #0x2000
  0x7cc4840: add       x8, x8, x22
  0x7cc4844: csel      x9, x9, x10, eq
  0x7cc4848: mov       x23, x9
  0x7cc484c: lsl       x9, x9, #1
  0x7cc4850: cmp       x23, x8
  0x7cc4854: b.lo      #0x7cc4848
  0x7cc4858: ldr       x0, [x19, #0x120]
  0x7cc485c: mov       x1, x23
  0x7cc4860: bl        #0x8b38370
  0x7cc4864: stp       x0, x23, [x19, #0x120]
  0x7cc4868: cbnz      x0, #0x7cc4878
  0x7cc486c: b         #0x7cc4898
  0x7cc4870: ldr       x0, [x19, #0x120]
  0x7cc4874: cbz       x0, #0x7cc4898
  0x7cc4878: ldr       x8, [x20]
  0x7cc487c: mov       x1, x21
  0x7cc4880: mov       x2, x22
  0x7cc4884: add       x0, x0, x8
  0x7cc4888: bl        #0x8b35300
  0x7cc488c: ldr       x8, [x20]
  0x7cc4890: add       x8, x8, x22
  0x7cc4894: str       x8, [x20]
  0x7cc4898: ldrb      w8, [sp, #8]
  0x7cc489c: tbz       w8, #0, #0x7cc48a8
  0x7cc48a0: ldr       x0, [sp, #0x18]
  0x7cc48a4: bl        #0x8b352c0
  ...
  0x7cc48c0: bl        #0x8b35330
  ...
  0x7cc48f4: bl        #0x8b35260
  ...
  0x7cc4914: bl        #0x8b352f0
  ...
  0x7cc4934: bl        #0x745cbd0
  ...
  0x7cc493c: add       x10, sp, #8
  0x7cc4940: ldrb      w8, [sp, #8]
  0x7cc4944: orr       x10, x10, #1
  0x7cc4948: tst       w8, #1
  0x7cc494c: lsr       x8, x8, #1
  0x7cc4950: csel      x21, x10, x9, eq
  0x7cc4954: csel      x10, x8, x11, eq
  0x7cc4958: cbz       x21, #0x7cc49d8
  0x7cc495c: ldr       x9, [x19, #0x128]
  0x7cc4960: and       x22, x10, #0xffffffff
  0x7cc4964: ldr       x8, [x19, #0x118]
  0x7cc4968: sub       x10, x9, x8
  0x7cc496c: cmp       x10, x22
  0x7cc4970: b.hs      #0x7cc49b0
  0x7cc4974: lsl       x10, x9, #1
  0x7cc4978: cmp       x9, #0
  0x7cc497c: mov       w9, #0x2000
  0x7cc4980: add       x8, x8, x22
  0x7cc4984: csel      x9, x9, x10, eq
  0x7cc4988: mov       x23, x9
  0x7cc498c: lsl       x9, x9, #1
  0x7cc4990: cmp       x23, x8
  0x7cc4994: b.lo      #0x7cc4988
  0x7cc4998: ldr       x0, [x19, #0x120]
  0x7cc499c: mov       x1, x23
  0x7cc49a0: bl        #0x8b38370
  0x7cc49a4: stp       x0, x23, [x19, #0x120]
  0x7cc49a8: cbnz      x0, #0x7cc49b8
  0x7cc49ac: b         #0x7cc49d8
  0x7cc49b0: ldr       x0, [x19, #0x120]
  0x7cc49b4: cbz       x0, #0x7cc49d8
  0x7cc49b8: ldr       x8, [x20]
  0x7cc49bc: mov       x1, x21
  0x7cc49c0: mov       x2, x22
  0x7cc49c4: add       x0, x0, x8
  0x7cc49c8: bl        #0x8b35300
  0x7cc49cc: ldr       x8, [x20]
  0x7cc49d0: add       x8, x8, x22
  0x7cc49d4: str       x8, [x20]
  0x7cc49d8: ldrb      w8, [sp, #8]
  0x7cc49dc: tbz       w8, #0, #0x7cc49e8
  0x7cc49e0: ldr       x0, [sp, #0x18]
  0x7cc49e4: bl        #0x8b352c0
  ...
  0x7cc4a1c: bl        #0x745cbd0
  0x7cc4a20: ldp       x10, x9, [sp, #0x10]
  0x7cc4a24: ldrb      w8, [sp, #8]
  0x7cc4a28: tst       w8, #1
  0x7cc4a2c: lsr       x8, x8, #1
  0x7cc4a30: csel      x21, x21, x9, eq
  0x7cc4a34: csel      x10, x8, x10, eq
  0x7cc4a38: cbz       x21, #0x7cc4ab8
  0x7cc4a3c: ldr       x9, [x19, #0x128]
  0x7cc4a40: and       x22, x10, #0xffffffff
  0x7cc4a44: ldr       x8, [x19, #0x118]
  0x7cc4a48: sub       x10, x9, x8
  0x7cc4a4c: cmp       x10, x22
  0x7cc4a50: b.hs      #0x7cc4a90
  0x7cc4a54: lsl       x10, x9, #1
  0x7cc4a58: cmp       x9, #0
  0x7cc4a5c: mov       w9, #0x2000
  0x7cc4a60: add       x8, x8, x22
  0x7cc4a64: csel      x9, x9, x10, eq
  0x7cc4a68: mov       x23, x9
  0x7cc4a6c: lsl       x9, x9, #1
  0x7cc4a70: cmp       x23, x8
  0x7cc4a74: b.lo      #0x7cc4a68
  0x7cc4a78: ldr       x0, [x19, #0x120]
  0x7cc4a7c: mov       x1, x23
  0x7cc4a80: bl        #0x8b38370
  0x7cc4a84: stp       x0, x23, [x19, #0x120]
  0x7cc4a88: cbnz      x0, #0x7cc4a98
  0x7cc4a8c: b         #0x7cc4ab8
  0x7cc4a90: ldr       x0, [x19, #0x120]
  0x7cc4a94: cbz       x0, #0x7cc4ab8
  0x7cc4a98: ldr       x8, [x20]
  0x7cc4a9c: mov       x1, x21
  0x7cc4aa0: mov       x2, x22
  0x7cc4aa4: add       x0, x0, x8
  0x7cc4aa8: bl        #0x8b35300
  0x7cc4aac: ldr       x8, [x20]
  0x7cc4ab0: add       x8, x8, x22
  0x7cc4ab4: str       x8, [x20]
  0x7cc4ab8: ldrb      w8, [sp, #8]
  0x7cc4abc: tbz       w8, #0, #0x7cc4ac8
  0x7cc4ac0: ldr       x0, [sp, #0x18]
  0x7cc4ac4: bl        #0x8b352c0
  ...
  0x7cc4ae0: bl        #0x8b35330
  ...
  0x7cc4b14: bl        #0x8b35260
  ...
  0x7cc4b34: bl        #0x8b352f0
  ...
  0x7cc4b54: bl        #0x745cbd0
  ...
  0x7cc4b5c: add       x10, sp, #8
  0x7cc4b60: ldrb      w8, [sp, #8]
  0x7cc4b64: orr       x10, x10, #1
  0x7cc4b68: tst       w8, #1
  0x7cc4b6c: lsr       x8, x8, #1
  0x7cc4b70: csel      x21, x10, x9, eq
  0x7cc4b74: csel      x10, x8, x11, eq
  0x7cc4b78: cbz       x21, #0x7cc4bf8
  0x7cc4b7c: ldr       x9, [x19, #0x128]
  0x7cc4b80: and       x22, x10, #0xffffffff
  0x7cc4b84: ldr       x8, [x19, #0x118]
  0x7cc4b88: sub       x10, x9, x8
  0x7cc4b8c: cmp       x10, x22
  0x7cc4b90: b.hs      #0x7cc4bd0
  0x7cc4b94: lsl       x10, x9, #1
  0x7cc4b98: cmp       x9, #0
  0x7cc4b9c: mov       w9, #0x2000
  0x7cc4ba0: add       x8, x8, x22
  0x7cc4ba4: csel      x9, x9, x10, eq
  0x7cc4ba8: mov       x23, x9
  0x7cc4bac: lsl       x9, x9, #1
  0x7cc4bb0: cmp       x23, x8
  0x7cc4bb4: b.lo      #0x7cc4ba8
  0x7cc4bb8: ldr       x0, [x19, #0x120]
  0x7cc4bbc: mov       x1, x23
  0x7cc4bc0: bl        #0x8b38370
  0x7cc4bc4: stp       x0, x23, [x19, #0x120]
  0x7cc4bc8: cbnz      x0, #0x7cc4bd8
  0x7cc4bcc: b         #0x7cc4bf8
  0x7cc4bd0: ldr       x0, [x19, #0x120]
  0x7cc4bd4: cbz       x0, #0x7cc4bf8
  0x7cc4bd8: ldr       x8, [x20]
  0x7cc4bdc: mov       x1, x21
  0x7cc4be0: mov       x2, x22
  0x7cc4be4: add       x0, x0, x8
  0x7cc4be8: bl        #0x8b35300
  0x7cc4bec: ldr       x8, [x20]
  0x7cc4bf0: add       x8, x8, x22
  0x7cc4bf4: str       x8, [x20]
  0x7cc4bf8: ldrb      w8, [sp, #8]
  0x7cc4bfc: tbz       w8, #0, #0x7cc4c08
  0x7cc4c00: ldr       x0, [sp, #0x18]
  0x7cc4c04: bl        #0x8b352c0
  ...
  0x7cc4c3c: bl        #0x745cbd0
  0x7cc4c40: ldp       x10, x9, [sp, #0x10]
  0x7cc4c44: ldrb      w8, [sp, #8]
  0x7cc4c48: tst       w8, #1
  0x7cc4c4c: lsr       x8, x8, #1
  0x7cc4c50: csel      x21, x21, x9, eq
  0x7cc4c54: csel      x10, x8, x10, eq
  0x7cc4c58: cbz       x21, #0x7cc4cd8
  0x7cc4c5c: ldr       x9, [x19, #0x128]
  0x7cc4c60: and       x22, x10, #0xffffffff
  0x7cc4c64: ldr       x8, [x19, #0x118]
  0x7cc4c68: sub       x10, x9, x8
  0x7cc4c6c: cmp       x10, x22
  0x7cc4c70: b.hs      #0x7cc4cb0
  0x7cc4c74: lsl       x10, x9, #1
  0x7cc4c78: cmp       x9, #0
  0x7cc4c7c: mov       w9, #0x2000
  0x7cc4c80: add       x8, x8, x22
  0x7cc4c84: csel      x9, x9, x10, eq
  0x7cc4c88: mov       x23, x9
  0x7cc4c8c: lsl       x9, x9, #1
  0x7cc4c90: cmp       x23, x8
  0x7cc4c94: b.lo      #0x7cc4c88
  0x7cc4c98: ldr       x0, [x19, #0x120]
  0x7cc4c9c: mov       x1, x23
  0x7cc4ca0: bl        #0x8b38370
  0x7cc4ca4: stp       x0, x23, [x19, #0x120]
  0x7cc4ca8: cbnz      x0, #0x7cc4cb8
  0x7cc4cac: b         #0x7cc4cd8
  0x7cc4cb0: ldr       x0, [x19, #0x120]
  0x7cc4cb4: cbz       x0, #0x7cc4cd8
  0x7cc4cb8: ldr       x8, [x20]
  0x7cc4cbc: mov       x1, x21
  0x7cc4cc0: mov       x2, x22
  0x7cc4cc4: add       x0, x0, x8
  0x7cc4cc8: bl        #0x8b35300
  0x7cc4ccc: ldr       x8, [x20]
  0x7cc4cd0: add       x8, x8, x22
  0x7cc4cd4: str       x8, [x20]
  0x7cc4cd8: ldrb      w8, [sp, #8]
  0x7cc4cdc: tbz       w8, #0, #0x7cc4ce8
  0x7cc4ce0: ldr       x0, [sp, #0x18]
  0x7cc4ce4: bl        #0x8b352c0
  ...
  0x7cc4cf0: bl        #0x745cd70
  ...
  0x7cc4cf8: bl        #0x8b35660
  ...
  0x7cc4d2c: bl        #0x8b382d0
  0x7cc4d30: bl        #0x8b382d0
  0x7cc4d34: bl        #0x8b382d0
  0x7cc4d38: bl        #0x8b382d0
  0x7cc4d3c: bl        #0x8b382d0
  0x7cc4d40: bl        #0x8b382d0
  0x7cc4d44: bl        #0x8b35290

-- fn 0x7cc5f6c-0x7cc6f44 base=x19 offsets=['0x118', '0x120', '0x128'] --
  ...
  0x7cc5f94: bl        #0x2f8e028
  ...
  0x7cc5f9c: bl        #0x2f93838
  ...
  0x7cc5fa8: bl        #0x2f912cc
  ...
  0x7cc5fb8: bl        #0x8b35650
  ...
  0x7cc602c: bl        #0x2efa4dc
  ...
  0x7cc60cc: bl        #0x2f91f98
  ...
  0x7cc60e8: bl        #0x2f913c8
  ...
  0x7cc60f8: bl        #0x2f92514
  ...
  0x7cc6100: bl        #0x2f8f898
  ...
  0x7cc6108: bl        #0x2f91730
  ...
  0x7cc6118: bl        #0x2f9135c
  ...
  0x7cc6128: bl        #0x2f92514
  ...
  0x7cc6130: bl        #0x2f8f898
  ...
  0x7cc6138: bl        #0x2f91730
  ...
  0x7cc61e0: bl        #0x2efa4dc
  ...
  0x7cc6218: bl        #0x8b352f0
  ...
  0x7cc6228: bl        #0x2f912cc
  ...
  0x7cc6234: bl        #0x2f9135c
  ...
  0x7cc6240: bl        #0x2f92514
  ...
  0x7cc6248: bl        #0x2f8f898
  ...
  0x7cc6250: bl        #0x2f91730
  ...
  0x7cc625c: bl        #0x2f9135c
  ...
  0x7cc6268: bl        #0x2f92514
  ...
  0x7cc6270: bl        #0x2f8f898
  ...
  0x7cc6278: bl        #0x2f91730
  ...
  0x7cc6290: bl        #0x2f913c8
  ...
  0x7cc629c: bl        #0x2f92514
  ...
  0x7cc62a4: bl        #0x2f8f898
  ...
  0x7cc62ac: bl        #0x2f91730
  ...
  0x7cc62bc: bl        #0x2f92514
  ...
  0x7cc62c4: bl        #0x2f92940
  ...
  0x7cc62cc: bl        #0x2f91730
  ...
  0x7cc62dc: bl        #0x2efa56c
  ...
  0x7cc62fc: bl        #0x2f913c8
  ...
  0x7cc630c: bl        #0x2f92514
  ...
  0x7cc6314: bl        #0x2f8f898
  ...
  0x7cc631c: bl        #0x2f91730
  ...
  0x7cc6358: bl        #0x8b382d0
  0x7cc635c: bl        #0x8b35290
  ...
  0x7cc6374: stp       x22, x21, [sp, #0xa0]
  0x7cc6378: stp       x20, x19, [sp, #0xb0]
  0x7cc637c: add       x29, sp, #0x60
  0x7cc6380: mrs       x24, tpidr_el0
  0x7cc6384: mov       x19, x0
  0x7cc6388: ldr       x8, [x24, #0x28]
  0x7cc638c: stur      x8, [x29, #-8]
  0x7cc6390: ldp       x0, x8, [x0, #0x120]
  0x7cc6394: str       xzr, [x19, #0x118]
  0x7cc6398: cbnz      x8, #0x7cc63ac
  0x7cc639c: mov       w1, #0x2000
  0x7cc63a0: mov       w20, #0x2000
  0x7cc63a4: bl        #0x8b38370
  0x7cc63a8: stp       x0, x20, [x19, #0x120]
  0x7cc63ac: add       x20, x19, #0x118
  0x7cc63b0: cbz       x0, #0x7cc63cc
  0x7cc63b4: ldr       x8, [x20]
  0x7cc63b8: mov       w9, #0x84
  0x7cc63bc: strb      w9, [x0, x8]
  0x7cc63c0: ldr       x8, [x20]
  0x7cc63c4: add       x8, x8, #1
  0x7cc63c8: str       x8, [x20]
  0x7cc63cc: mov       w9, #0x736d
  0x7cc63d0: mov       w8, #0xa
  0x7cc63d4: movk      w9, #0x6967, lsl #16
  0x7cc63d8: mov       w11, #0x64
  ...
  0x7cc63f8: bl        #0x745cbd0
  0x7cc63fc: ldp       x10, x9, [x29, #-0x20]
  0x7cc6400: ldurb     w8, [x29, #-0x28]
  0x7cc6404: tst       w8, #1
  0x7cc6408: lsr       x8, x8, #1
  0x7cc640c: csel      x21, x21, x9, eq
  0x7cc6410: csel      x10, x8, x10, eq
  0x7cc6414: cbz       x21, #0x7cc6494
  0x7cc6418: ldr       x9, [x19, #0x128]
  0x7cc641c: and       x22, x10, #0xffffffff
  0x7cc6420: ldr       x8, [x19, #0x118]
  0x7cc6424: sub       x10, x9, x8
  0x7cc6428: cmp       x10, x22
  0x7cc642c: b.hs      #0x7cc646c
  0x7cc6430: lsl       x10, x9, #1
  0x7cc6434: cmp       x9, #0
  0x7cc6438: mov       w9, #0x2000
  0x7cc643c: add       x8, x8, x22
  0x7cc6440: csel      x9, x9, x10, eq
  0x7cc6444: mov       x23, x9
  0x7cc6448: lsl       x9, x9, #1
  0x7cc644c: cmp       x23, x8
  0x7cc6450: b.lo      #0x7cc6444
  0x7cc6454: ldr       x0, [x19, #0x120]
  0x7cc6458: mov       x1, x23
  0x7cc645c: bl        #0x8b38370
  0x7cc6460: stp       x0, x23, [x19, #0x120]
  0x7cc6464: cbnz      x0, #0x7cc6474
  0x7cc6468: b         #0x7cc6494
  0x7cc646c: ldr       x0, [x19, #0x120]
  0x7cc6470: cbz       x0, #0x7cc6494
  0x7cc6474: ldr       x8, [x20]
  0x7cc6478: mov       x1, x21
  0x7cc647c: mov       x2, x22
  0x7cc6480: add       x0, x0, x8
  0x7cc6484: bl        #0x8b35300
  0x7cc6488: ldr       x8, [x20]
  0x7cc648c: add       x8, x8, x22
  0x7cc6490: str       x8, [x20]
  0x7cc6494: ldurb     w8, [x29, #-0x28]
  0x7cc6498: tbz       w8, #0, #0x7cc64a4
  0x7cc649c: ldur      x0, [x29, #-0x18]
  0x7cc64a0: bl        #0x8b352c0
  ...
  0x7cc64bc: bl        #0x8b35330
  ...
  0x7cc64f4: bl        #0x8b35260
  ...
  0x7cc6514: bl        #0x8b352f0
  ...
  0x7cc6534: bl        #0x745cbd0
  ...
  0x7cc653c: sub       x10, x29, #0x28
  0x7cc6540: ldurb     w8, [x29, #-0x28]
  0x7cc6544: orr       x10, x10, #1
  0x7cc6548: tst       w8, #1
  0x7cc654c: lsr       x8, x8, #1
  0x7cc6550: csel      x21, x10, x9, eq
  0x7cc6554: csel      x10, x8, x11, eq
  0x7cc6558: cbz       x21, #0x7cc65d8
  0x7cc655c: ldr       x9, [x19, #0x128]
  0x7cc6560: and       x22, x10, #0xffffffff
  0x7cc6564: ldr       x8, [x19, #0x118]
  0x7cc6568: sub       x10, x9, x8
  0x7cc656c: cmp       x10, x22
  0x7cc6570: b.hs      #0x7cc65b0
  0x7cc6574: lsl       x10, x9, #1
  0x7cc6578: cmp       x9, #0
  0x7cc657c: mov       w9, #0x2000
  0x7cc6580: add       x8, x8, x22
  0x7cc6584: csel      x9, x9, x10, eq
  0x7cc6588: mov       x23, x9
  0x7cc658c: lsl       x9, x9, #1
  0x7cc6590: cmp       x23, x8
  0x7cc6594: b.lo      #0x7cc6588
  0x7cc6598: ldr       x0, [x19, #0x120]
  0x7cc659c: mov       x1, x23
  0x7cc65a0: bl        #0x8b38370
  0x7cc65a4: stp       x0, x23, [x19, #0x120]
  0x7cc65a8: cbnz      x0, #0x7cc65b8
  0x7cc65ac: b         #0x7cc65d8
  0x7cc65b0: ldr       x0, [x19, #0x120]
  0x7cc65b4: cbz       x0, #0x7cc65d8
  0x7cc65b8: ldr       x8, [x20]
  0x7cc65bc: mov       x1, x21
  0x7cc65c0: mov       x2, x22
  0x7cc65c4: add       x0, x0, x8
  0x7cc65c8: bl        #0x8b35300
  0x7cc65cc: ldr       x8, [x20]
  0x7cc65d0: add       x8, x8, x22
  0x7cc65d4: str       x8, [x20]
  0x7cc65d8: ldurb     w8, [x29, #-0x28]
  0x7cc65dc: tbz       w8, #0, #0x7cc65e8
  0x7cc65e0: ldur      x0, [x29, #-0x18]
  0x7cc65e4: bl        #0x8b352c0
  ...
  0x7cc6610: bl        #0x745cbd0
  0x7cc6614: ldp       x10, x9, [x29, #-0x20]
  0x7cc6618: ldurb     w8, [x29, #-0x28]
  0x7cc661c: tst       w8, #1
  0x7cc6620: lsr       x8, x8, #1
  0x7cc6624: csel      x21, x21, x9, eq
  0x7cc6628: csel      x10, x8, x10, eq
  0x7cc662c: cbz       x21, #0x7cc66ac
  0x7cc6630: ldr       x9, [x19, #0x128]
  0x7cc6634: and       x22, x10, #0xffffffff
  0x7cc6638: ldr       x8, [x19, #0x118]
  0x7cc663c: sub       x10, x9, x8
  0x7cc6640: cmp       x10, x22
  0x7cc6644: b.hs      #0x7cc6684
  0x7cc6648: lsl       x10, x9, #1
  0x7cc664c: cmp       x9, #0
  0x7cc6650: mov       w9, #0x2000
  0x7cc6654: add       x8, x8, x22
  0x7cc6658: csel      x9, x9, x10, eq
  0x7cc665c: mov       x23, x9
  0x7cc6660: lsl       x9, x9, #1
  0x7cc6664: cmp       x23, x8
  0x7cc6668: b.lo      #0x7cc665c
  0x7cc666c: ldr       x0, [x19, #0x120]
  0x7cc6670: mov       x1, x23
  0x7cc6674: bl        #0x8b38370
  0x7cc6678: stp       x0, x23, [x19, #0x120]
